S104,HRIM 355,HRIM 476,"NURU 343, NURU 277"
S105,"NURU 344, NURU 275","PUHE 821, NUPM 802,","PUHE 119, NUMS 824"
S203,"HNDS 212, HNDS 332, HNDS 0291",HRIM 224,"PUHE 449, PUHU 131"
"","NULM 812,",,
S204,EPSC 411,EENG 232,COMM 470
S207,NURS 254,PUHE 345,COMM 240
S302,CHEM 231,CHEM 323,
S303,CHEM 231,CHEM 323,PHYS 483
S304,"BOTA 412, BOTA 432",ANHE 322,"BOTA 442, BOTA 474"
S306,CHEM 231,ZOOL 440,COMM 102
S402,CHEM 103,BOTA 101,EPSC 111
S403,EAPE 412,BOTA 101,EPSC 111
S404,KISW 308,CDEV 405,EENG 242
S408,PUHE 223,"FREN 243,",BIOC 350
S502,"COMM 250, COMM 260",BOTA 101,EPSC 111
S503,EAPE 412,BOTA 101,EPSC 111
S504,EAPE 412,PHYS 411,EPSC 111
S508,"ANSC 453, ANPT 453",BMET 423,"ANSC 461, ANPT 461"
S602,"COMM 340,",,
L1,"ECDE 235, ECDE 441, ECDE 0144",ZOOL 340,"ECDE 122, ECDE 242, ECDE 443"
"",,,ECDE 0146
L2,ECDE 334,EENG 444,ECDE 333
L3,LITT 408,"CDEV 0100, CDEV 0209, CDEV 00100",RELI 104
"",,"PPMA 266, PPMA 111, PPMA 0111",
L4,"CRSS 431, CRSS 421, CRSS 441",EENG 446,"CRSS 432, CRSS 422, CRSS 442"
FTC 301,"PSYC 421, PSYC 321",KISW 202,"PSYC 441, PSYC 322"
FTC 302,CDEV 301,KISW 202,CDEV 304
FTC 303,ENGL 352,"CRSS 201, CDEV 120",LITT 315
FTC 304,"LAPA 0234, INRE 221",CHEM 803,PHIL 151
FTC 403,NUMS 846,"FOST 335, PHIL 220",RELI 372
FTC 404,"AGEC 802, AGBM 841, MATH 805","LAPA 0272, LAPA 0111, GOVT 221",RELI 433
"","MATH 921,",,
FTC 502,"PHIL 324, PHIL 435",PSYC 212,"PHIL 223, PHIL 463"
FTC 504,ECON 431,CRSS 0232,CRSS 0233
FTC 602A,SOCI 323,"COSC 0244, COSC 0231, COSC 0130,",SOCI 324
"",,MATH 00101,
FTC 602B,,"EENG 111, EPHY 315",BSIS 456
FTC 602C,"SOWK 0223, MSIS 803","EPHY 212, GPHY 233","SOWK 0224, MSIS 811, MBAD 817"
FTC 604,AGEC 333,"BOTA 941, ZOOL 823",FOST 211
SRP B 01,COSC 103,MATH 221,
SRP B 03,COSC 103,MATH 221,MATH 322
MSH5,"CRSS 00100, SOCI 0101, CRSS 0104",CHEM 428,"CRSS 0100, CRSS 0111, CRSS 0210"
"",,,CRSS 00101
MSH6,MATH 346,EDFO 0121,"ANHE 0272, ANHE 0111"
"",,,"BIOL 00100/BOTA 00100,"
MSH7,ACMT 404,,"AGED 0231,AGRI 0322, HORT 0261"
MSH8,"COSC 0110, COSC 00106",,"COSC 0101, COSC 00107"
MSH9,"BIOC 0113, ANHE 0114, ANHE 00126,",,
MSH10,"AGEC 0231, HORT 0212, HORT 0324",,
BSR001,WIEM 102,AGBM 430,AGRI 271
BSR201,AGEC 416,KISW 420,"HORT 421, HORT 361, HORT 212AGRI 401, HORT 333,"
